alpha_3_code,mean_grp,mean_mic,sd_mic,n,n_studies,mean_lo,mean_hi,change_mean,change_se,ci_change_lo,ci_change_hi,mean_year,entity,who_region
JPN,2,0.012170974155069583,0.004174994753369198,2515,9,0.012007727545614305,0.012334220764524862,-0.0033343587939070676,2.1443425159372247e-4,-0.0037547272588131044,-0.002913990329001031,1995,Japan,Western Pacific
MEX,1,0.010301369863013698,0.003299675768844462,146,2,0.009761632139498225,0.010841107586529172,NA,NA,NA,NA,2000,Mexico,Americas
MEX,2,0.032,0,197,1,0.032,0.032,0.0216986301369863,2.730831096774223e-4,0.021161490644504764,0.022235769629467838,2000,Mexico,Americas
NLD,1,0.013532258064516129,0.00287281059577484,62,2,0.012802700777496566,0.014261815351535692,NA,NA,NA,NA,2001,Netherlands,Europe
NLD,2,0.015,0,142,1,0.015,0.015,0.0014677419354838708,3.648473105108976e-4,7.483442597608141e-4,0.0021871396112069274,2001,Netherlands,Europe
NOR,1,0.015,0,98,1,0.015,0.015,NA,NA,NA,NA,2003,Norway,Europe
NOR,2,0.016,NA,1,1,NA,NA,0.0010000000000000009,NA,NA,NA,2003,Norway,Europe
POL,1,0.014184466019417476,0.0022567874651924324,103,3,0.013743400390911802,0.01462553164792315,NA,NA,NA,NA,2001,Poland,Europe
POL,2,0.015,0,397,2,0.015,0.015,8.155339805825234e-4,2.2236787640482844e-4,3.7863914525030506e-4,0.0012524288159147417,2001,Poland,Europe
PRT,1,0.012,0,302,1,0.012,0.012,NA,NA,NA,NA,1999,Portugal,Europe
PRT,2,0.014682352941176471,0.00297315455117596,255,2,0.014315687684741629,0.015049018197611314,0.002682352941176471,1.8618616010967513e-4,0.002316637236936447,0.0030480686454164947,1999,Portugal,Europe
SRB,1,0.03,0,3113,2,0.03,0.03,NA,NA,NA,NA,1988,Serbia,Europe
SRB,2,0.03,0,2169,1,0.03,0.03,0,0,0,0,1988,Serbia,Europe
SWE,1,0.015003436426116838,5.862103817605497e-5,291,3,0.014996672928191058,0.015010199924042619,NA,NA,NA,NA,1999,Sweden,Europe
SWE,2,0.014335877862595419,0.0020626608824670578,262,4,0.014084952942039052,0.014586802783151786,-6.675585635214192e-4,1.2747794122108778e-4,-9.179607667802565e-4,-4.171563602625818e-4,1999,Sweden,Europe
TUR,1,0.013454166666666666,0.002909726750555965,240,2,0.013084168600964686,0.013824164732368647,NA,NA,NA,NA,2008,Turkey,Europe
TUR,2,0.025563063063063062,0.02007616911018637,222,1,0.022907618280499663,0.02821850784562646,0.012108896396396396,0.001360451845434239,0.009435425592342459,0.014782367200450333,2008,Turkey,Europe
USA,1,0.013922546419098144,0.007401335389334125,1131,7,0.013490736817449243,0.014354356020747045,NA,NA,NA,NA,1991,United States,Americas
USA,2,0.015531547409235107,0.00985791918716065,2837,10,0.015168645656568542,0.01589444916190167,0.001609000990136963,2.8755659676223415e-4,0.0010452283627717164,0.0021727736175022098,1991,United States,Americas
UNCLASSIFIED,1,0.008,0,2164,3,0.008,0.008,NA,NA,NA,NA,2004,UNCLASSIFIED,Unclassifed
UNCLASSIFIED,2,0.014992907801418438,0.0029041544763985776,282,2,0.0146524856575844,0.015333329945252477,0.006992907801418438,1.7293988238020888e-4,0.006653783914429746,0.00733203168840713,2004,UNCLASSIFIED,Unclassifed
GLOBAL,1,0.021363264652503468,0.012240742389023824,18734,46,0.02118797000620049,0.021538559298806447,NA,NA,NA,NA,NA,GLOBAL,Unclassifed
GLOBAL,2,0.022246292292996833,0.017778114584307884,19891,52,0.021999215524722487,0.02249336906127118,8.830276404933647e-4,1.545565686104946e-4,5.800928390994567e-4,0.0011859624418872727,NA,GLOBAL,Unclassifed
