record_id,redcap_event_name,redcap_repeat_instrument,redcap_repeat_instance,mic50_who_1,mic50_who_2,mic50_who_3,mic50_who_4,mic50_who_5,mic50_who_6,mic50_who_7,mic50_country_1,mic50_country_2,mic50_country_3,mic50_country_4,mic50_country_5,mic50_country_6,mic50_country_7,ddwho1,ddcountry1
163,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,2,"Costa Rica"
164,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,3,Pakistan
165,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,4,Turkey
166,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,2,Brazil
167,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,2,"Costa Rica"
168,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,3,Lebanon
169,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,2,USA
170,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,4,Spain
170,data_extraction_arm_2,sr_data_extraction,2,,,,,,,,,,,,,,,4,Spain
170,data_extraction_arm_2,sr_data_extraction,3,,,,,,,,,,,,,,,4,Spain
172,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,5,India
173,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,6,"New Zealand"
174,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,4,Russia
175,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,4,UK
176,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,2,USA
177,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,6,"South Korea"
178,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,3,Lebanon
178,data_extraction_arm_2,sr_data_extraction,2,,,,,,,,,,,,,,,3,Lebanon
178,data_extraction_arm_2,sr_data_extraction,3,,,,,,,,,,,,,,,3,Lebanon
179,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,6,Taiwan
180,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,6,China
181,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,5,India
182,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,4,Italy
182,data_extraction_arm_2,sr_data_extraction,2,,,,,,,,,,,,,,,4,Italy
182,data_extraction_arm_2,sr_data_extraction,3,,,,,,,,,,,,,,,4,Italy
183,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,2,Canada
184,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,4,Spain
185,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,2,Argentina
186,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,5,India
187,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,5,India
188,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,5,India
189,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,2,USA
190,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,4,Turkey
191,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,2,Brazil
192,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,6,China
193,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,5,Nepal
194,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,3,Tunisia
195,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,2,"Argentina, Brazil, Chile, Columbia, Mexico"
196,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,2,USA
198,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,6,China
199,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,4,Spain
199,data_extraction_arm_2,sr_data_extraction,2,,,,,,,,,,,,,,,4,Spain
200,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,4,Spain
201,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,2,USA
202,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,6,Japan
203,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,4,Belgium
204,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,3,"Multiple, breakdown not reported"
205,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,1,"South Africa"
206,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,6,China
207,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,1,Tanzania
