"record_id","redcap_repeat_instance","author","pub_yr","isolate_yr","who","country","alpha_3_code","count","mic50_1","mic90_1","micnos_1","mic90nos","micnos_q90","mic_90_agg"
46,NA,NA,NA,1999,2,"United States Of America (The)",NA,2,NA,NA,NA,NA,0.016,0.016
46,NA,NA,NA,2000,2,"United States Of America (The)",NA,1,NA,NA,NA,NA,0.016,0.016
46,NA,NA,NA,2003,2,"United States Of America (The)",NA,4,NA,NA,NA,NA,0.016,0.016
46,NA,NA,NA,2005,2,"United States Of America (The)",NA,1,NA,NA,NA,NA,0.016,0.016
46,NA,NA,NA,2006,2,"United States Of America (The)",NA,2,NA,NA,NA,NA,0.0223,0.0223
46,NA,NA,NA,2008,2,"United States Of America (The)",NA,2,NA,NA,NA,NA,0.0223,0.0223
46,NA,NA,NA,2009,2,"United States Of America (The)",NA,1,NA,NA,NA,NA,0.012,0.012
46,NA,NA,NA,2010,2,"United States Of America (The)",NA,3,NA,NA,NA,NA,0.0288,0.0288
46,NA,NA,NA,2012,2,"United States Of America (The)",NA,5,NA,NA,NA,NA,0.0256,0.0256
46,NA,NA,NA,2013,2,"United States Of America (The)",NA,3,NA,NA,NA,NA,0.0288,0.0288
46,NA,NA,NA,2009,4,"United States Of America (The)",NA,1,NA,NA,NA,NA,0.016,0.016
47,NA,NA,NA,1970,6,"Japan","JPN",2030,NA,NA,NA,NA,0.0125,0.0125
48,NA,NA,NA,1981,6,"Japan","JPN",497,NA,NA,NA,NA,0.0125,0.0125
49,NA,NA,NA,1978,6,"Japan","JPN",67,NA,NA,NA,NA,0.0125,0.0125
60,NA,NA,NA,2008,6,"Japan","JPN",12,NA,NA,NA,NA,0.015,0.015
66,NA,NA,NA,2004,2,"Brazil","BRA",130,NA,NA,NA,NA,0.004,0.004
67,NA,NA,NA,1999,4,"Iceland","ISL",3,NA,NA,NA,NA,0.012,0.012
67,NA,NA,NA,2000,4,"Iceland","ISL",1,NA,NA,NA,NA,0.016,0.016
67,NA,NA,NA,2001,4,"Iceland","ISL",1,NA,NA,NA,NA,0.012,0.012
67,NA,NA,NA,2002,4,"Iceland","ISL",5,NA,NA,NA,NA,0.023,0.023
67,NA,NA,NA,2007,4,"Iceland","ISL",1,NA,NA,NA,NA,0.012,0.012
67,NA,NA,NA,2008,4,"Iceland","ISL",2,NA,NA,NA,NA,0.012,0.012
67,NA,NA,NA,2009,4,"Iceland","ISL",2,NA,NA,NA,NA,0.016,0.016
68,NA,NA,NA,2012,4,"Turkiye",NA,222,NA,NA,NA,NA,0.03,0.03
70,NA,NA,NA,1967,2,"United States Of America (The)",NA,98,NA,NA,NA,NA,0.01,0.01
71,NA,NA,NA,1971,2,"United States Of America (The)",NA,103,NA,NA,NA,NA,0.016,0.016
74,NA,NA,NA,2010,4,"Germany","DEU",1,NA,NA,NA,NA,0.015,0.015
77,NA,NA,NA,2013,5,"India","IND",78,NA,NA,NA,NA,0.03,0.03
79,NA,NA,NA,2017,2,"United States Of America (The)",NA,5,NA,NA,NA,NA,0.012,0.012
80,NA,NA,NA,1997,4,"Italy","ITA",934,NA,NA,NA,NA,0.03,0.03
104,NA,NA,NA,1987,2,"United States Of America (The)",NA,20,NA,NA,NA,NA,0.02,0.02
108,NA,NA,NA,1985,6,"Japan","JPN",670,NA,NA,NA,NA,0.016,0.016
239,NA,NA,NA,1993,4,"Greece","GRC",49,NA,NA,NA,NA,0.004,0.004
