record_id,redcap_event_name,redcap_repeat_instrument,redcap_repeat_instance,author,pub_yr,isolate_yr,who,country,count,mic50_1,mic90_1,micnos_1
43,mic_data_extractio_arm_1,mic_data_extraction,1,Melo-Cristino,1999,1998,4,Portugal,302,0.008,0.012,
44,mic_data_extractio_arm_1,mic_data_extraction,1,Melo-Cristino,2001,2000,4,Portugal,213,0.012,0.016,
45,mic_data_extractio_arm_1,mic_data_extraction,1,Morosini,2003,2000,4,Spain,412,0.01,0.01,
46,mic_data_extractio_arm_1,mic_data_extraction,1,Musser,2020,1998,6,Australia,1,,,0.016
46,,,,Musser,2020,1998,2,Canada,2,,,0.012
46,,,,Musser,2020,2002,2,Canada,1,,,0.012
46,,,,Musser,2020,1991,2,Canada,1,,,0.012
46,,,,Musser,2020,2006,4,Finland,1,,,0.012
46,,,,Musser,2020,1996,4,Finland,1,,,0.012
46,,,,Musser,2020,2000,4,Finland,1,,,0.012
46,mic_data_extractio_arm_1,mic_data_extraction,2,Musser,2020,2005,2,USA,1,,,0.016
46,,,,Musser,2020,1999,2,USA,1,,,0.016
46,,,,Musser,2020,2012,2,USA,1,,,0.016
46,,,,Musser,2020,1997,4,Italy,1,,,0.012
46,,,,Musser,2020,1996,2,USA,1,,,0.012
46,,,,Musser,2020,2009,2,USA,1,,,0.012
46,,,,Musser,2020,2008,2,USA,1,,,0.016
46,mic_data_extractio_arm_1,mic_data_extraction,3,Musser,2020,2010,4,Finland,1,,,0.012
46,,,,Musser,2020,2011,4,Finland,1,,,0.016
46,,,,Musser,2020,2004,4,Finland,1,,,0.016
46,,,,Musser,2020,1998,2,USA,1,,,0.016
46,,,,Musser,2020,1995,4,Finland,1,,,0.016
46,,,,Musser,2020,2009,4,USA,1,,,0.016
46,,,,Musser,2020,2014,4,Finland,1,,,0.016
46,mic_data_extractio_arm_1,mic_data_extraction,4,Musser,2020,2008,4,Finland,1,,,0.016
46,,,,Musser,2020,2012,4,Finland,1,,,0.016
46,,,,Musser,2020,2012,2,USA,1,,,0.016
46,,,,Musser,2020,2003,2,USA,4,,,0.016
46,,,,Musser,2020,2006,2,USA,1,,,0.016
46,,,,Musser,2020,1998,2,Canada,1,,,0.016
46,,,,Musser,2020,2008,2,USA,1,,,0.023
46,mic_data_extractio_arm_1,mic_data_extraction,5,Musser,2020,1995,2,Canada,1,,,0.016
46,,,,Musser,2020,2015,4,Finland,1,,,0.016
46,,,,Musser,2020,1997,4,Canada,1,,,0.016
46,,,,Musser,2020,2012,2,USA,1,,,0.016
46,,,,Musser,2020,2004,4,Norway,1,,,0.016
46,,,,Musser,2020,2010,2,USA,1,,,0.016
46,,,,Musser,2020,2011,4,Finland,1,,,0.016
46,mic_data_extractio_arm_1,mic_data_extraction,6,Musser,2020,2012,4,Finland,1,,,0.016
46,,,,Musser,2020,2003,2,Canada,1,,,0.016
46,,,,Musser,2020,2006,2,USA,1,,,0.023
46,,,,Musser,2020,2013,2,USA,2,,,0.016
46,,,,Musser,2020,1999,2,USA,1,,,0.016
46,,,,Musser,2020,2000,2,USA,1,,,0.016
46,,,,Musser,2020,2012,2,USA,1,,,0.016
46,mic_data_extractio_arm_1,mic_data_extraction,7,Musser,2020,2008,4,Finland,1,,,0.023
46,,,,Musser,2020,2012,2,USA,1,,,0.032
46,,,,Musser,2020,2013,2,USA,1,,,0.032
